date,value
2/19/2005,984393
2/20/2005,984393
2/21/2005,987619
2/22/2005,985236
2/23/2005,985629
2/24/2005,985553
2/25/2005,983195
2/26/2005,985446
2/27/2005,984745
2/28/2005,986460
3/1/2005,986460
3/2/2005,971855
3/3/2005,972973
3/4/2005,972973
3/5/2005,973174
3/6/2005,973618
3/7/2005,973205
3/8/2005,973205
3/9/2005,973741
3/10/2005,974837
3/11/2005,974554
3/12/2005,974470
3/13/2005,974021
3/14/2005,973231
3/15/2005,973347
3/16/2005,974253
3/17/2005,974253
3/18/2005,976585
3/19/2005,974713
3/20/2005,973430
3/21/2005,975330
3/22/2005,974310
3/23/2005,977528
3/24/2005,977528
3/25/2005,976058
3/26/2005,975228
3/27/2005,976201
3/28/2005,975553
3/29/2005,975193
3/30/2005,975992
3/31/2005,973594
4/1/2005,976535
4/2/2005,976535
4/3/2005,977183
4/4/2005,976245
4/5/2005,976193
4/6/2005,975687
4/7/2005,974487
4/8/2005,974924
4/9/2005,974924
4/10/2005,975712
4/11/2005,975195
4/12/2005,975479
4/13/2005,976059
4/14/2005,975592
4/15/2005,977990
4/16/2005,978224
4/17/2005,978907
4/18/2005,978907
4/19/2005,978063
4/20/2005,977366
4/21/2005,975721
4/22/2005,976556
4/23/2005,976381
4/24/2005,976733
4/25/2005,976733
4/26/2005,979064
4/27/2005,978475
4/28/2005,979477
4/29/2005,979376
4/30/2005,977993
5/1/2005,979900
5/2/2005,980018
5/3/2005,980883
5/4/2005,980883
5/5/2005,975646
5/6/2005,975387
5/7/2005,973989
5/8/2005,981275
5/9/2005,984773
5/10/2005,984213
5/11/2005,984213
5/12/2005,932197
5/13/2005,934864
5/14/2005,930309
5/15/2005,940620
5/16/2005,958883
5/17/2005,972774
5/18/2005,974977
5/19/2005,982991
5/20/2005,982991
5/21/2005,982812
5/22/2005,983398
5/23/2005,976513
5/24/2005,978299
5/25/2005,978670
5/26/2005,981250
5/27/2005,981250
5/28/2005,977838
5/29/2005,976754
5/30/2005,977379
5/31/2005,975554
6/1/2005,975590
6/2/2005,976581
6/3/2005,973557
6/4/2005,981250
6/5/2005,981250
6/6/2005,984699
6/7/2005,983255
6/8/2005,978978
6/9/2005,978140
6/10/2005,978140
6/11/2005,979682
6/12/2005,979682
6/13/2005,983948
6/14/2005,984385
6/15/2005,984549
6/16/2005,982887
6/17/2005,982584
6/18/2005,978731
6/19/2005,973411
6/20/2005,978067
6/21/2005,978067
6/22/2005,978169
6/23/2005,977048
6/24/2005,974376
6/25/2005,976660
6/26/2005,977801
6/27/2005,979063
6/28/2005,979063
6/29/2005,980417
6/30/2005,981260
7/1/2005,981942
7/2/2005,981942
7/3/2005,980925
7/4/2005,-32000
7/5/2005,-32000
7/6/2005,-32000
7/7/2005,-32000
7/8/2005,-32000
7/9/2005,-32000
7/10/2005,-32000
7/11/2005,-32000
7/12/2005,-32000
7/13/2005,940578
7/14/2005,940578
7/15/2005,940578
7/16/2005,940578
7/17/2005,-32000
7/18/2005,-32000
7/19/2005,-32000
7/20/2005,-32000
7/21/2005,-32000
7/22/2005,-32000
7/23/2005,-32000
7/24/2005,966258
7/25/2005,966258
7/26/2005,966258
7/27/2005,974703
7/28/2005,980882
7/29/2005,980882
7/30/2005,980882
7/31/2005,-32000
8/1/2005,942645
8/2/2005,943889
8/3/2005,949533
8/4/2005,949533
8/5/2005,959543
8/6/2005,968040
8/7/2005,970781
8/8/2005,970781
8/9/2005,965437
8/10/2005,961840
8/11/2005,957378
8/12/2005,964097
8/13/2005,963280
8/14/2005,972666
8/15/2005,972666
8/16/2005,959205
8/17/2005,955970
8/18/2005,954183
8/19/2005,956993
8/20/2005,958222
8/21/2005,964897
8/22/2005,963967
8/23/2005,953792
8/24/2005,953792
8/25/2005,948121
8/26/2005,952961
8/27/2005,960865
8/28/2005,963464
8/29/2005,965624
8/30/2005,953998
8/31/2005,953998
9/1/2005,945255
9/2/2005,953144
9/3/2005,966211
9/4/2005,967019
9/5/2005,971529
9/6/2005,973730
9/7/2005,972063
9/8/2005,970694
9/9/2005,970694
9/10/2005,958983
9/11/2005,960767
9/12/2005,956461
9/13/2005,961516
9/14/2005,963013
9/15/2005,964217
9/16/2005,964217
9/17/2005,955839
9/18/2005,957671
9/19/2005,949835
9/20/2005,952337
9/21/2005,952455
9/22/2005,955384
9/23/2005,965820
9/24/2005,960472
9/25/2005,960472
9/26/2005,884648
9/27/2005,908560
9/28/2005,888333
9/29/2005,914964
9/30/2005,961750
10/1/2005,961083
10/2/2005,961083
10/3/2005,958324
10/4/2005,959473
10/5/2005,962639
10/6/2005,965145
10/7/2005,965630
10/8/2005,966790
10/9/2005,968769
10/10/2005,972421
10/11/2005,972421
10/12/2005,976618
10/13/2005,974904
10/14/2005,970707
10/15/2005,971183
10/16/2005,969964
10/17/2005,969750
10/18/2005,969750
10/19/2005,970954
10/20/2005,973197
10/21/2005,967156
10/22/2005,965787
10/23/2005,964943
10/24/2005,961878
10/25/2005,967102
10/26/2005,967739
10/27/2005,967739
10/28/2005,964145
10/29/2005,962171
10/30/2005,961145
10/31/2005,964093
11/1/2005,963411
11/2/2005,966425
11/3/2005,966425
11/4/2005,966062
11/5/2005,966740
11/6/2005,966892
11/7/2005,966942
11/8/2005,966062
11/9/2005,970333
11/10/2005,972471
11/11/2005,975561
11/12/2005,975561
11/13/2005,970737
11/14/2005,970363
11/15/2005,970235
11/16/2005,972279
11/17/2005,973774
11/18/2005,975889
11/19/2005,975889
11/20/2005,975319
11/21/2005,975319
11/22/2005,976059
11/23/2005,975175
11/24/2005,975122
11/25/2005,977905
11/26/2005,977533
11/27/2005,977117
11/28/2005,977117
11/29/2005,974738
11/30/2005,974307
12/1/2005,974712
12/2/2005,973825
12/3/2005,973226
12/4/2005,974477
12/5/2005,974477
12/6/2005,975302
12/7/2005,974827
12/8/2005,973636
12/9/2005,973568
12/10/2005,973374
12/11/2005,973823
12/12/2005,974723
12/13/2005,976060
12/14/2005,976060
12/15/2005,978821
12/16/2005,978142
12/17/2005,978690
12/18/2005,977737
12/19/2005,976687
12/20/2005,977408
12/21/2005,977408
12/22/2005,979591
12/23/2005,978828
12/24/2005,977417
12/25/2005,977508
12/26/2005,976828
12/27/2005,975987
12/28/2005,975905
12/29/2005,977861
12/30/2005,977861
12/31/2005,978173
1/1/2006,975890
1/2/2006,973861
1/3/2006,973020
1/4/2006,972244
1/5/2006,974886
1/6/2006,974886
1/7/2006,976815
1/8/2006,976249
1/9/2006,976196
1/10/2006,974975
1/11/2006,974236
1/12/2006,975398
1/13/2006,974777
1/14/2006,978759
1/15/2006,978759
1/16/2006,978481
1/17/2006,975584
1/18/2006,973054
1/19/2006,972462
1/20/2006,970501
1/21/2006,974854
1/22/2006,974854
1/23/2006,976294
1/24/2006,975985
1/25/2006,974467
1/26/2006,976488
1/27/2006,977758
1/28/2006,975073
1/29/2006,975073
1/30/2006,970287
1/31/2006,970287
2/1/2006,972094
2/2/2006,973246
2/3/2006,974796
2/4/2006,975739
2/5/2006,976955
2/6/2006,980326
2/7/2006,980326
2/8/2006,979923
2/9/2006,977880
2/10/2006,980302
2/11/2006,980982
2/12/2006,982115
2/13/2006,983015
2/14/2006,980114
2/15/2006,979709
2/16/2006,979709
2/17/2006,981415
2/18/2006,979738
2/19/2006,977865
2/20/2006,977803
2/21/2006,977258
2/22/2006,978907
2/23/2006,978907
2/24/2006,-32000
2/25/2006,973811
2/26/2006,975758
2/27/2006,974596
2/28/2006,974596
3/1/2006,974949
3/2/2006,971665
3/3/2006,-32000
3/4/2006,-32000
3/5/2006,976280
3/6/2006,976280
3/7/2006,976280
3/8/2006,976280
3/9/2006,-32000
3/10/2006,-32000
3/11/2006,-32000
3/12/2006,-32000
3/13/2006,977503
3/14/2006,975668
3/15/2006,975372
3/16/2006,975372
3/17/2006,976614
3/18/2006,978684
3/19/2006,979918
3/20/2006,979918
3/21/2006,979470
3/22/2006,978680
3/23/2006,978501
3/24/2006,979686
3/25/2006,979278
3/26/2006,979789
3/27/2006,979789
3/28/2006,979561
3/29/2006,976695
3/30/2006,977281
3/31/2006,977069
4/1/2006,976027
4/2/2006,976478
4/3/2006,974053
4/4/2006,975977
