date,value
11/11/2004,985856
11/12/2004,984853
11/13/2004,984769
11/14/2004,984408
11/15/2004,987151
11/16/2004,986283
11/17/2004,988675
11/18/2004,988675
11/19/2004,986728
11/20/2004,986728
11/21/2004,-32000
11/22/2004,990368
11/23/2004,990368
11/24/2004,988545
11/25/2004,988545
11/26/2004,984667
11/27/2004,984527
11/28/2004,984966
11/29/2004,985035
11/30/2004,985969
12/1/2004,986676
12/2/2004,986130
12/3/2004,987789
12/4/2004,987789
12/5/2004,990359
12/6/2004,987181
12/7/2004,987179
12/8/2004,986506
12/9/2004,983678
12/10/2004,981518
12/11/2004,981518
12/12/2004,981134
12/13/2004,983652
12/14/2004,987633
12/15/2004,986836
12/16/2004,988011
12/17/2004,989044
12/18/2004,988167
12/19/2004,990470
12/20/2004,990470
12/21/2004,989150
12/22/2004,987523
12/23/2004,987051
12/24/2004,988262
12/25/2004,987523
12/26/2004,991421
12/27/2004,991421
12/28/2004,990299
12/29/2004,990555
12/30/2004,991105
12/31/2004,988882
1/1/2005,988472
1/2/2005,988800
1/3/2005,986438
1/4/2005,987517
1/5/2005,987517
1/6/2005,989446
1/7/2005,988628
1/8/2005,989148
1/9/2005,989827
1/10/2005,989530
1/11/2005,992068
1/12/2005,992068
1/13/2005,989096
1/14/2005,988812
1/15/2005,987848
1/16/2005,986805
1/17/2005,987209
1/18/2005,987379
1/19/2005,985745
1/20/2005,987821
1/21/2005,987821
1/22/2005,989623
1/23/2005,987550
1/24/2005,987599
1/25/2005,986401
1/26/2005,985086
1/27/2005,987407
1/28/2005,987407
1/29/2005,991684
1/30/2005,991212
1/31/2005,992309
2/1/2005,991767
2/2/2005,991417
2/3/2005,989661
2/4/2005,987443
2/5/2005,987411
2/6/2005,987411
2/7/2005,990585
2/8/2005,989226
2/9/2005,988989
2/10/2005,985614
2/11/2005,982172
2/12/2005,982404
2/13/2005,982404
2/14/2005,988996
2/15/2005,989758
2/16/2005,991825
2/17/2005,991363
2/18/2005,991765
2/19/2005,992184
2/20/2005,992302
2/21/2005,993876
2/22/2005,993876
2/23/2005,990601
2/24/2005,989795
2/25/2005,988573
2/26/2005,988847
2/27/2005,988441
2/28/2005,989393
3/1/2005,989393
3/2/2005,975011
3/3/2005,975635
3/4/2005,967452
3/5/2005,966943
3/6/2005,961397
3/7/2005,963207
3/8/2005,973135
3/9/2005,978679
3/10/2005,978679
3/11/2005,977265
3/12/2005,976564
3/13/2005,977441
3/14/2005,977428
3/15/2005,976172
3/16/2005,975717
3/17/2005,975717
3/18/2005,976358
3/19/2005,978069
3/20/2005,980173
3/21/2005,978884
3/22/2005,978558
3/23/2005,977603
3/24/2005,975986
3/25/2005,978043
3/26/2005,978043
3/27/2005,977591
3/28/2005,978596
3/29/2005,979013
3/30/2005,979293
3/31/2005,980314
4/1/2005,978655
4/2/2005,978655
4/3/2005,977635
4/4/2005,976811
4/5/2005,975993
4/6/2005,977139
4/7/2005,977044
4/8/2005,975677
4/9/2005,975744
4/10/2005,977618
4/11/2005,977618
4/12/2005,982322
4/13/2005,980377
4/14/2005,979127
4/15/2005,978018
4/16/2005,976778
4/17/2005,979483
4/18/2005,979483
4/19/2005,982901
4/20/2005,981421
4/21/2005,979809
4/22/2005,979579
4/23/2005,978973
4/24/2005,977917
4/25/2005,979149
4/26/2005,979286
4/27/2005,979286
4/28/2005,980105
4/29/2005,978895
4/30/2005,979148
5/1/2005,978483
5/2/2005,977323
5/3/2005,980607
5/4/2005,980607
5/5/2005,980797
5/6/2005,979942
5/7/2005,980843
5/8/2005,980580
5/9/2005,979869
5/10/2005,979255
5/11/2005,975735
5/12/2005,981356
5/13/2005,981356
5/14/2005,969795
5/15/2005,967526
5/16/2005,952289
5/17/2005,955903
5/18/2005,959033
5/19/2005,954669
5/20/2005,954669
5/21/2005,958950
5/22/2005,964736
5/23/2005,971256
5/24/2005,963554
5/25/2005,961822
5/26/2005,961271
5/27/2005,955737
5/28/2005,971468
5/29/2005,971468
5/30/2005,971517
5/31/2005,971329
